Route,Day,Location,Incident,Min Delay,Min Gap,Date_,Month,Hour
89,Monday,KEELE AND GLENLAKE,Vision,10,20,2024-01-01,1,2
39,Monday,FINCH STATION,General Delay,20,40,2024-01-01,1,2
320,Monday,YONGE AND QUEENSQUAY,Operations - Operator,8,16,2024-01-01,1,3
171,Monday,MOUNT DENNIS GARAGE,General Delay,20,20,2024-01-01,1,4
12,Monday,VICTORIA PARK AND DANF,Emergency Services,21,42,2024-01-01,1,4
300,Monday,DANFORTH AND WOODBINE,Security,10,20,2024-01-01,1,4
600,Monday,LAKESHORE AND THIRTY S,Cleaning - Unsanitary,25,50,2024-01-01,1,5
300,Monday,BLOOR AND DUNDAS W,Diversion,18,38,2024-01-01,1,6
35,Monday,PIONEER VILLAGE,General Delay,20,40,2024-01-01,1,6
168,Monday,DUNDAS AND BLOOR,Diversion,20,110,2024-01-01,1,6
600,Monday,DANFORTH AND SIBLEY (W,Security,23,46,2024-01-01,1,6
39,Monday,FINCH AND KENNEDY,Mechanical,12,24,2024-01-01,1,7
51,Monday,DUPLEX AND EGLINTON,Mechanical,21,42,2024-01-01,1,7
54,Monday,EGLINTON AND BESSBOROU,Mechanical,14,28,2024-01-01,1,7
85,Monday,TORONTO ZOO,Security,20,40,2024-01-01,1,7
900,Monday,TERMINAL 3,Security,8,16,2024-01-01,1,7
54,Monday,LESLIE AND EGLINTON,Mechanical,15,30,2024-01-01,1,8
7,Monday,BATHURST STATION,Mechanical,10,20,2024-01-01,1,8
935,Monday,KIPLING STATION,Operations - Operator,10,20,2024-01-01,1,8
75,Monday,QUEENS QUAY AND LOWER,Emergency Services,24,48,2024-01-01,1,9
34,Monday,EGLINTON AND LEBOVIC,Mechanical,11,15,2024-01-01,1,9
900,Monday,KIPLING STATION,Operations - Operator,14,28,2024-01-01,1,9
66,Monday,OLD MILL STATION,Mechanical,25,50,2024-01-01,1,9
54,Monday,EGLINTON AND BAYVIEW,Mechanical,8,16,2024-01-01,1,10
131,Monday,SCARBOROUGH CENTRE STA,Mechanical,15,30,2024-01-01,1,10
96,Monday,HUMBERLINE LOOP,Security,10,20,2024-01-01,1,11
112,Monday,KIPLING STATION,Operations - Operator,22,44,2024-01-01,1,11
52,Monday,AVENUE AND WILSON,Mechanical,10,20,2024-01-01,1,11
95,Monday,ELLESMERE AND MEADOWVA,Diversion,15,35,2024-01-01,1,11
26,Monday,ANNETTE AND KEELE,Diversion,6,34,2024-01-01,1,11
86,Monday,EGLINTON AND MARKHAM,Collision - TTC,7,15,2024-01-01,1,12
960,Monday,PIONEER VILLAGE STATIO,Operations - Operator,10,20,2024-01-01,1,12
60,Monday,PIONEER VILLAGE STATIO,Collision - TTC,10,20,2024-01-01,1,12
84,Monday,ARROW GARAGE,Mechanical,10,20,2024-01-01,1,13
41,Monday,KEELE AND YPRES,Mechanical,12,24,2024-01-01,1,13
50,Monday,BURNHAMTHORPE AND MART,Security,10,20,2024-01-01,1,14
32,Monday,EGLINTON WEST STATION,Cleaning - Unsanitary,20,40,2024-01-01,1,14
131,Monday,KENNEDY STATION,Cleaning - Unsanitary,20,40,2024-01-01,1,14
123,Monday,KIPLING STATION,Mechanical,20,40,2024-01-01,1,14
106,Monday,SHEPPARD WEST STATION,Mechanical,12,24,2024-01-01,1,14
7,Monday,VILLAGE GATE AND BATHU,Cleaning - Unsanitary,8,16,2024-01-01,1,15
45,Monday,KIPLING AND N HEIGHTS,Security,10,20,2024-01-01,1,16
102,Monday,MARKHAM AND STEELES,Mechanical,7,14,2024-01-01,1,16
42,Monday,MCNICOLL AND KENNEDY,Mechanical,20,40,2024-01-01,1,17
96,Monday,1700 WILSON,Mechanical,20,40,2024-01-01,1,17
111,Monday,KIPLING STATION,Mechanical,12,24,2024-01-01,1,17
38,Monday,ELLESMERE AND MARKHAM,Mechanical,12,24,2024-01-01,1,18
600,Monday,ANNETTE AND RUNNYMEDE,Mechanical,5,10,2024-01-01,1,19
19,Monday,BAY AND WELLESLEY,Diversion,28,53,2024-01-01,1,19
165,Monday,WESTON AND LANYARD,Diversion,10,49,2024-01-01,1,19
189,Monday,ST CLAIR AND MONDOVI (,Operations - Operator,28,56,2024-01-01,1,19
84,Monday,SHEPPARD AND JANE,Operations - Operator,10,20,2024-01-01,1,19
12,Monday,KENNEDY STATION,Cleaning - Unsanitary,17,34,2024-01-01,1,19
39,Monday,NEILSON AND CROW TRAIL,Mechanical,5,10,2024-01-01,1,20
53,Monday,STEELES AND WOODBINE,Mechanical,10,20,2024-01-01,1,20
