Route,Day,Location,Incident,Min Gap,Date_,Month,Hour
LINE 1,Tuesday,YONGE AND CRESCENT,Mechanical,4,2024-06-18,6,0
95,Saturday,RYLANDER AND KINGSTON,Cleaning - Unsanitary,32,2024-05-25,5,20
113,Monday,MAIN STREET STATION,Mechanical,43,2024-04-08,4,5
52,Saturday,LAWRENCE AND BATHURST,Emergency Services,44,2024-08-24,8,0
126,Thursday,CHRISTIE STATION,Operations - Operator,33,2024-06-13,6,6
29,Saturday,DUFFERIN GATE LOOP,Vision,16,2024-09-21,9,0
19,Wednesday,DUPONT AND BEDFORD,Collision - TTC,50,2024-05-22,5,9
95,Saturday,1295 MILITARY TRAIL,Mechanical,28,2024-02-03,2,13
903,Monday,MIDLAND AND ROMULUS,Collision - TTC,20,2024-05-06,5,14
102,Tuesday,ST CLAIR AND SANTAMONI,Cleaning - Unsanitary,14,2024-08-13,8,21
89,Friday,KEELE STATION,Emergency Services,20,2024-03-29,3,21
995,Friday,YORK MILLS STATION,Mechanical,20,2024-01-26,1,12
960,Sunday,STEELES AND HILDA,Mechanical,22,2024-09-08,9,10
101,Saturday,DOWNSVIEW PARK STATION,Mechanical,30,2024-06-29,6,10
52,Thursday,LAWRENCE AND KEELE,Operations - Operator,20,2024-06-27,6,18
95,Wednesday,ELLESMERE AND KENNEDY,Operations - Operator,20,2024-05-01,5,14
17,Thursday,BIRCHMOUNT AND LAWRENC,Operations - Operator,22,2024-08-08,8,4
89,Thursday,WESTON AND WALSH,Investigation,20,2024-05-23,5,21
29,Monday,DUFFERIN AND RAMSDEN,Vision,16,2024-08-12,8,17
22,Friday,400 DANFORTH ROAD,Operations - Operator,20,2024-08-02,8,19
124,Friday,OLD ORCHARD AND AVENUE,Security,30,2024-03-01,3,22
47,Thursday,LANSDOWNE STATION,General Delay,48,2024-07-11,7,15
89,Saturday,KEELE STATION,Collision - TTC,20,2024-05-18,5,12
36,Sunday,FINCH AND NORFINCH,Operations - Operator,16,2024-02-11,2,21
52,Friday,LAWRENCE AND OLYMPIA,Security,20,2024-05-17,5,12
39,Thursday,FINCH STATION,Operations - Operator,20,2024-09-05,9,1
32,Wednesday,PINE AND LAWRENCE,Mechanical,24,2024-01-17,1,12
63,Tuesday,OSSINGTON STATION,Collision - TTC,20,2024-04-09,4,17
